id,causename,val1997,1997,val1998,1998,val1999,1999,val2000,2000,val2001,2001,val2002,2002,val2003,2003,val2004,2004,val2005,2005,val2006,2006,val2007,2007,val2008,2008,val2009,2009,val2010,2010,val2011,2011,val2012,2012,val2013,2013,val2014,2014,val2015,2015,
STL,Stateless,905,41,1725,25,2705,26,2405,25,2540,27,1255,46,3850,23,2980,27,2340,31,2105,26,2030,25,2745,23,3225,23,2800,24,2825,32,3930,25,10415,14,16830,12,18365,15,
CZE,Czech Republic,615,48,815,39,2320,31,1760,31,1635,40,4240,16,775,59,170,79,105,84,30,100,80,85,125,83,130,91,65,98,60,102,25,110,40,110,35,112,5,116,
ERI,Eritrea,610,49,770,42,1280,42,1220,39,1460,42,2000,34,2720,37,2605,30,4650,16,4690,13,3930,15,9555,8,9735,9,8050,11,10430,10,11995,9,20300,7,46750,2,45290,6,
GMB,+ACI-Gambia, The+ACI-,200,70,110,77,90,89,120,77,245,72,290,72,455,69,645,58,530,59,400,60,510,55,1200,38,1515,38,1405,39,1790,41,2125,38,4055,30,11935,15,12690,18
MLI,Mali,150,73,60,86,1700,36,55,89,130,81,125,82,1390,50,1250,46,975,54,220,71,695,46,4070,17,1225,41,1055,46,4135,25,2675,33,7000,21,13130,14,7870,22,
HTI,Haiti,110,75,360,59,510,59,5,108,5,110,5,112,1510,48,3160,24,5075,14,1855,29,680,47,1425,33,1840,34,2350,28,2290,36,1840,39,1675,41,2005,42,2650,43,
COD,Democratic Republic of the Congo,75,80,0,114,10,108,15,104,5,108,6140,12,10295,11,8240,11,6900,9,4760,12,4000,14,4440,16,5240,19,5805,17,6535,20,8585,14,8615,17,7540,22,5340,30,
CHN,China (including Hong Kong),0,117,0,118,0,120,15,106,45,96,6795,11,15305,5,11510,4,7820,6,5545,10,5610,9,3270,21,6240,16,6375,15,6475,21,6080,20,6035,24,5775,29,5965,26,
KSV,Kosovo (under United Nations Security Council Resolution 1244/99),,122,,122,,122,,122,,122,,122,,122,,122,,122,,122,,122,0,123,14970,5,15160,6,10705,9,10925,11,21180,6,38445,4,72475,4,
MNE,Montenegro,,123,,123,,123,,123,,123,,123,,123,,123,,123,,123,,123,310,69,285,76,435,67,675,63,1310,47,985,50,1870,45,4075,37,
SRB,Serbia,,124,,124,,124,,124,,124,,124,,124,,124,,124,,124,,124,15710,4,6445,15,18855,3,15645,5,21075,4,22740,4,31175,5,29955,8,
ZWE,Zimbabwe,60,87,80,83,235,74,1025,43,2140,31,9100,8,4255,21,2775,29,1560,43,2305,25,2470,21,385,64,8105,12,2720,25,1005,52,710,60,615,62,525,68,415,77,
